open,close,low,high,volume,amount,symbol,type,start_timestamp,end_timestamp
2301.96,2304.99,2301.95,2305.24,510.33483,1175760.17173133,SPOT_ETH_USDT,5m,2024-02-04 11:10:00,2024-02-04 11:15:00
2304.99,2304.01,2303.86,2306.32,537.558779,1239091.02877588,SPOT_ETH_USDT,5m,2024-02-04 11:15:00,2024-02-04 11:20:00
2304.18,2305.85,2303.89,2305.86,702.894082,1620362.42575207,SPOT_ETH_USDT,5m,2024-02-04 11:20:00,2024-02-04 11:25:00
2305.85,2305.4,2304.5,2306.32,617.094099,1422777.26287207,SPOT_ETH_USDT,5m,2024-02-04 11:25:00,2024-02-04 11:30:00
2305.44,2305.53,2304.79,2306.13,315.538096,727443.0132753,SPOT_ETH_USDT,5m,2024-02-04 11:30:00,2024-02-04 11:35:00
2305.63,2308.89,2305.63,2309.56,1125.465948,2597280.27181489,SPOT_ETH_USDT,5m,2024-02-04 11:35:00,2024-02-04 11:40:00
2309.02,2308.33,2307.81,2310.28,774.847541,1789337.51968302,SPOT_ETH_USDT,5m,2024-02-04 11:40:00,2024-02-04 11:45:00
2308.32,2308.15,2306.74,2308.8,552.977562,1276210.25957902,SPOT_ETH_USDT,5m,2024-02-04 11:45:00,2024-02-04 11:50:00
2308.01,2307.37,2306.61,2309.43,579.716745,1338217.19339755,SPOT_ETH_USDT,5m,2024-02-04 11:50:00,2024-02-04 11:55:00
2307.37,2304.7,2304.7,2307.56,454.975689,1049639.25405471,SPOT_ETH_USDT,5m,2024-02-04 11:55:00,2024-02-04 12:00:00
2305.91,2305.8,2305.2,2307.41,633.753483,1461708.84444549,SPOT_ETH_USDT,5m,2024-02-04 12:00:00,2024-02-04 12:05:00
2305.81,2308.05,2305.67,2308.19,209.542229,483364.43188512,SPOT_ETH_USDT,5m,2024-02-04 12:05:00,2024-02-04 12:10:00
2308.05,2307.74,2307.03,2308.59,478.571629,1104457.38920039,SPOT_ETH_USDT,5m,2024-02-04 12:10:00,2024-02-04 12:15:00
2307.61,2308.99,2306.88,2309.26,888.464698,2050746.85749263,SPOT_ETH_USDT,5m,2024-02-04 12:15:00,2024-02-04 12:20:00
2296.59,2292.33,2291.8,2296.82,949.968784,2178891.02258028,SPOT_ETH_USDT,5m,2024-02-05 04:00:00,2024-02-05 04:05:00
2292.33,2294.25,2292.33,2294.97,462.828357,1061649.43282878,SPOT_ETH_USDT,5m,2024-02-05 04:05:00,2024-02-05 04:10:00
2294.26,2294.87,2293.48,2295.16,758.344903,1740076.36656903,SPOT_ETH_USDT,5m,2024-02-05 04:10:00,2024-02-05 04:15:00
2294.75,2296.14,2294.58,2296.64,686.038695,1574640.77556808,SPOT_ETH_USDT,5m,2024-02-05 04:15:00,2024-02-05 04:20:00
2296.15,2296.47,2296.0,2299.4,1500.393697,3447247.70305632,SPOT_ETH_USDT,5m,2024-02-05 04:20:00,2024-02-05 04:25:00
2296.46,2296.67,2295.63,2296.93,318.537308,731443.04471879,SPOT_ETH_USDT,5m,2024-02-05 04:25:00,2024-02-05 04:30:00
2296.74,2298.99,2296.33,2299.18,705.662852,1621443.16440703,SPOT_ETH_USDT,5m,2024-02-05 04:30:00,2024-02-05 04:35:00
2299.04,2297.42,2295.79,2299.2,1058.901115,2432305.01974108,SPOT_ETH_USDT,5m,2024-02-05 04:35:00,2024-02-05 04:40:00
2297.43,2293.5,2293.29,2297.5,601.87675,1381394.19938012,SPOT_ETH_USDT,5m,2024-02-05 04:40:00,2024-02-05 04:45:00
2293.49,2295.47,2293.01,2295.6,557.215715,1278340.81510111,SPOT_ETH_USDT,5m,2024-02-05 04:45:00,2024-02-05 04:50:00
2295.47,2295.39,2294.85,2295.76,282.36322,648117.65080837,SPOT_ETH_USDT,5m,2024-02-05 04:50:00,2024-02-05 04:55:00
2295.38,2295.0,2294.62,2295.58,279.825472,642211.37917483,SPOT_ETH_USDT,5m,2024-02-05 04:55:00,2024-02-05 05:00:00
2294.91,2292.83,2292.71,2295.16,316.171429,725346.20401712,SPOT_ETH_USDT,5m,2024-02-05 05:00:00,2024-02-05 05:05:00
2292.84,2291.36,2290.99,2293.43,633.079512,1451245.30213363,SPOT_ETH_USDT,5m,2024-02-05 05:05:00,2024-02-05 05:10:00
2291.37,2292.41,2291.36,2294.18,342.756764,786051.48316699,SPOT_ETH_USDT,5m,2024-02-05 05:10:00,2024-02-05 05:15:00
2292.41,2291.75,2290.75,2292.41,228.641866,523941.78601801,SPOT_ETH_USDT,5m,2024-02-05 05:15:00,2024-02-05 05:20:00
2291.91,2291.65,2291.12,2292.99,271.83726,623016.55941957,SPOT_ETH_USDT,5m,2024-02-05 05:20:00,2024-02-05 05:25:00
2291.65,2289.45,2289.03,2292.0,333.758035,764584.90669595,SPOT_ETH_USDT,5m,2024-02-05 05:25:00,2024-02-05 05:30:00
2289.45,2291.4,2289.34,2291.76,200.868286,460090.43024563,SPOT_ETH_USDT,5m,2024-02-05 05:30:00,2024-02-05 05:35:00
2291.39,2292.16,2291.39,2292.75,331.533499,759954.94047109,SPOT_ETH_USDT,5m,2024-02-05 05:35:00,2024-02-05 05:40:00
2292.35,2293.06,2291.83,2293.44,378.731677,868255.25016794,SPOT_ETH_USDT,5m,2024-02-05 05:40:00,2024-02-05 05:45:00
2293.05,2293.59,2292.92,2294.34,456.411221,1046838.51030845,SPOT_ETH_USDT,5m,2024-02-05 05:45:00,2024-02-05 05:50:00
2293.56,2294.68,2293.46,2295.31,281.537682,645943.89759974,SPOT_ETH_USDT,5m,2024-02-05 05:50:00,2024-02-05 05:55:00
2294.69,2295.47,2293.35,2295.47,492.739517,1130582.17823068,SPOT_ETH_USDT,5m,2024-02-05 05:55:00,2024-02-05 06:00:00
2295.46,2295.24,2294.27,2295.47,274.150231,629128.60158432,SPOT_ETH_USDT,5m,2024-02-05 06:00:00,2024-02-05 06:05:00
2295.19,2296.06,2295.19,2296.92,401.105167,920988.07449411,SPOT_ETH_USDT,5m,2024-02-05 06:05:00,2024-02-05 06:10:00
2296.05,2295.34,2294.8,2297.25,456.927375,1049232.13188484,SPOT_ETH_USDT,5m,2024-02-05 06:10:00,2024-02-05 06:15:00
2295.33,2294.15,2293.86,2295.55,350.566458,804480.12119449,SPOT_ETH_USDT,5m,2024-02-05 06:15:00,2024-02-05 06:20:00
2294.14,2296.57,2293.77,2297.04,373.706737,857887.6020219,SPOT_ETH_USDT,5m,2024-02-05 06:20:00,2024-02-05 06:25:00
2296.56,2297.42,2295.6,2298.06,789.451558,1813349.01669578,SPOT_ETH_USDT,5m,2024-02-05 06:25:00,2024-02-05 06:30:00
2297.83,2296.73,2296.06,2298.22,615.066183,1412971.39819664,SPOT_ETH_USDT,5m,2024-02-05 06:30:00,2024-02-05 06:35:00
2296.72,2297.35,2294.62,2297.92,1046.144738,2402320.58626254,SPOT_ETH_USDT,5m,2024-02-05 06:35:00,2024-02-05 06:40:00
2297.42,2296.06,2295.36,2297.42,499.862694,1147889.39265357,SPOT_ETH_USDT,5m,2024-02-05 06:40:00,2024-02-05 06:45:00
2296.21,2296.59,2296.03,2297.36,357.239636,820446.2304778,SPOT_ETH_USDT,5m,2024-02-05 06:45:00,2024-02-05 06:50:00
2296.59,2298.81,2296.03,2298.82,698.157498,1604170.49691952,SPOT_ETH_USDT,5m,2024-02-05 06:50:00,2024-02-05 06:55:00
2298.82,2301.23,2298.44,2302.41,1493.978039,3436929.394666,SPOT_ETH_USDT,5m,2024-02-05 06:55:00,2024-02-05 07:00:00
2301.23,2300.07,2300.06,2302.59,858.18084,1975272.61280052,SPOT_ETH_USDT,5m,2024-02-05 07:00:00,2024-02-05 07:05:00
2300.07,2299.21,2298.64,2300.59,805.288314,1851902.32383303,SPOT_ETH_USDT,5m,2024-02-05 07:05:00,2024-02-05 07:10:00
2299.17,2298.75,2298.44,2299.59,372.82732,857097.24896047,SPOT_ETH_USDT,5m,2024-02-05 07:10:00,2024-02-05 07:15:00
2298.74,2301.67,2298.74,2301.68,733.46135,1687716.26488494,SPOT_ETH_USDT,5m,2024-02-05 07:15:00,2024-02-05 07:20:00
2301.55,2303.51,2301.21,2304.0,1126.229612,2593199.16260514,SPOT_ETH_USDT,5m,2024-02-05 07:20:00,2024-02-05 07:25:00
2303.51,2306.73,2303.3,2307.26,1756.114556,4048858.23901262,SPOT_ETH_USDT,5m,2024-02-05 07:25:00,2024-02-05 07:30:00
2306.88,2306.88,2305.02,2307.76,658.2602,1518249.0179995,SPOT_ETH_USDT,5m,2024-02-05 07:30:00,2024-02-05 07:35:00
2306.83,2308.86,2306.65,2309.99,1716.073096,3961849.08865771,SPOT_ETH_USDT,5m,2024-02-05 07:35:00,2024-02-05 07:40:00
2308.95,2310.13,2307.9,2310.77,1910.133456,4411717.54809419,SPOT_ETH_USDT,5m,2024-02-05 07:40:00,2024-02-05 07:45:00
2310.39,2309.81,2308.81,2311.46,1340.415076,3096496.3086684,SPOT_ETH_USDT,5m,2024-02-05 07:45:00,2024-02-05 07:50:00
2309.81,2310.1,2309.45,2312.82,1977.220749,4570188.50573127,SPOT_ETH_USDT,5m,2024-02-05 07:50:00,2024-02-05 07:55:00
2310.11,2310.18,2309.24,2312.61,2442.784229,5644845.81109961,SPOT_ETH_USDT,5m,2024-02-05 07:55:00,2024-02-05 08:00:00
2310.18,2317.76,2310.17,2317.81,3530.879316,8173027.29276389,SPOT_ETH_USDT,5m,2024-02-05 08:00:00,2024-02-05 08:05:00
2317.8,2318.16,2317.51,2319.88,2908.293249,6743053.65216544,SPOT_ETH_USDT,5m,2024-02-05 08:05:00,2024-02-05 08:10:00
2317.89,2316.99,2315.29,2318.22,1807.788984,4187737.06465797,SPOT_ETH_USDT,5m,2024-02-05 08:10:00,2024-02-05 08:15:00
2316.99,2318.78,2316.78,2319.89,1346.511783,3122199.06366801,SPOT_ETH_USDT,5m,2024-02-05 08:15:00,2024-02-05 08:20:00
2318.87,2314.8,2313.03,2320.2,1378.687275,3192789.77990459,SPOT_ETH_USDT,5m,2024-02-05 08:20:00,2024-02-05 08:25:00
2314.84,2315.5,2313.98,2316.79,509.774652,1180296.68542856,SPOT_ETH_USDT,5m,2024-02-05 08:25:00,2024-02-05 08:30:00
2315.81,2314.63,2314.61,2318.55,645.610733,1495482.27858275,SPOT_ETH_USDT,5m,2024-02-05 08:30:00,2024-02-05 08:35:00
2314.62,2315.73,2313.03,2316.72,1082.048006,2505039.81883766,SPOT_ETH_USDT,5m,2024-02-05 08:35:00,2024-02-05 08:40:00
2316.48,2313.96,2313.67,2319.03,2051.04361,4753187.95592243,SPOT_ETH_USDT,5m,2024-02-05 08:40:00,2024-02-05 08:45:00
2313.95,2317.71,2313.75,2318.08,875.464859,2027855.49260291,SPOT_ETH_USDT,5m,2024-02-05 08:45:00,2024-02-05 08:50:00
2317.93,2323.92,2317.71,2325.28,3343.251325,7763452.94392934,SPOT_ETH_USDT,5m,2024-02-05 08:50:00,2024-02-05 08:55:00
2324.11,2322.17,2321.24,2325.09,923.409574,2145389.50221276,SPOT_ETH_USDT,5m,2024-02-05 08:55:00,2024-02-05 09:00:00
2322.18,2323.18,2321.85,2325.51,1248.224208,2901367.18737475,SPOT_ETH_USDT,5m,2024-02-05 09:00:00,2024-02-05 09:05:00
2323.18,2319.47,2319.01,2323.74,1010.158813,2345331.44447392,SPOT_ETH_USDT,5m,2024-02-05 09:05:00,2024-02-05 09:10:00
