number,train_f1score,valid_f1score,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,system_attrs_nsga2:generation,state
100,0.8211588493547132,0.5346691883667518,2024-10-08 23:30:17.267621,2024-10-08 23:45:08.964900,0 days 00:14:51.697279,0.020998895905992052,9,0.5585148923981624,266,2,COMPLETE
101,0.694745635010805,0.5395587725703554,2024-10-08 23:45:08.965694,2024-10-08 23:52:39.183503,0 days 00:07:30.217809,0.09374966342190862,5,0.723872783145403,231,2,COMPLETE
102,0.7630015947703598,0.5391338047034072,2024-10-08 23:52:39.184292,2024-10-09 00:01:40.665436,0 days 00:09:01.481144,0.08182098781742336,6,0.8064827183758972,235,2,COMPLETE
103,0.8171587191360302,0.539055170584893,2024-10-09 00:01:40.666161,2024-10-09 00:06:59.245684,0 days 00:05:18.579523,0.05742866098947423,9,0.8064827183758972,95,2,COMPLETE
104,0.9010425810997458,0.5212900161853651,2024-10-09 00:06:59.246437,2024-10-09 00:21:43.795610,0 days 00:14:44.549173,0.053783553406638256,8,0.8355313455955404,294,2,COMPLETE
105,0.6019756864748808,0.5364100475156055,2024-10-09 00:21:43.796017,2024-10-09 00:24:38.141177,0 days 00:02:54.345160,0.044258082472027074,6,0.9518706124810348,76,2,COMPLETE
106,0.9428414467453505,0.5193715247158726,2024-10-09 00:24:38.141923,2024-10-09 00:36:34.914217,0 days 00:11:56.772294,0.08577447042314079,8,0.6377905276724567,239,2,COMPLETE
107,0.9729077206101164,0.5186157277983758,2024-10-09 00:36:34.914679,2024-10-09 00:51:18.283599,0 days 00:14:43.368920,0.09374966342190862,8,0.6134510579679664,294,2,COMPLETE
108,0.6098146525575613,0.5359202823126191,2024-10-09 00:51:18.284022,2024-10-09 00:54:23.101040,0 days 00:03:04.817018,0.09374966342190862,5,0.8064827183758972,95,2,COMPLETE
109,0.7514202277807948,0.5337255806287738,2024-10-09 00:54:23.101473,2024-10-09 01:00:36.565364,0 days 00:06:13.463891,0.044258082472027074,8,0.78943761486667,124,2,COMPLETE
110,0.839239932738966,0.5354515706056338,2024-10-09 01:00:36.566119,2024-10-09 01:15:34.869572,0 days 00:14:58.303453,0.02660750487480286,9,0.9591191369393308,268,2,COMPLETE
111,0.743669279991152,0.5352411874929188,2024-10-09 01:15:34.870353,2024-10-09 01:21:56.150984,0 days 00:06:21.280631,0.09374966342190862,6,0.6134510579679664,166,2,COMPLETE
112,0.7676491279350957,0.5387471889137903,2024-10-09 01:21:56.151750,2024-10-09 01:31:18.625008,0 days 00:09:22.473258,0.08182098781742336,6,0.8064827183758972,244,2,COMPLETE
113,0.7924043544597675,0.5373441376526427,2024-10-09 01:31:18.625801,2024-10-09 01:41:52.929185,0 days 00:10:34.303384,0.08182098781742336,6,0.8064827183758972,276,2,COMPLETE
114,0.9872778345649525,0.511277198326756,2024-10-09 01:41:52.929997,2024-10-09 01:54:52.179110,0 days 00:12:59.249113,0.07145318614018284,10,0.5356071607778772,210,2,COMPLETE
115,0.7356135453199059,0.5396231642172282,2024-10-09 01:54:52.179900,2024-10-09 02:06:18.699427,0 days 00:11:26.519527,0.053829228277327605,6,0.942068615171271,298,2,COMPLETE
116,0.7949289300967051,0.5365691417399977,2024-10-09 02:06:18.700187,2024-10-09 02:10:24.088756,0 days 00:04:05.388569,0.056624534708562574,9,0.5652595504661115,73,2,COMPLETE
117,0.7865592331699637,0.5351361813421315,2024-10-09 02:10:24.089258,2024-10-09 02:19:18.341019,0 days 00:08:54.251761,0.09040493754005155,6,0.6329730009538722,233,2,COMPLETE
118,0.7162377521961696,0.5318442645297009,2024-10-09 02:19:18.341796,2024-10-09 02:25:51.792359,0 days 00:06:33.450563,0.027532638090089996,8,0.677104760341481,131,2,COMPLETE
119,0.9930991339257625,0.5169286382421606,2024-10-09 02:25:51.793157,2024-10-09 02:41:57.494540,0 days 00:16:05.701383,0.06741433201530245,10,0.5827011375096942,260,2,COMPLETE
